building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
1873618,2446,1582,290898.5,5034219.5,527,6,22018.0,0,22018,"{'MAGAZZINO': 12, 'CASA': 406, 'MIXED': 57, 'OTHER': 14, 'INVIAMENTO': 16, 'BOTTEGA': 19}"
1250085,1902,2048,291364.5,5034763.5,1278,7,31078.0,0,31078,"{'CASA': 861, 'MIXED': 158, 'OTHER': 24, 'BOTTEGA': 106, 'MAGAZZINO': 29, 'INVIAMENTO': 35, 'TRAGHETTO': 39}"
289875,1060,1956,291272.5,5035605.5,830,7,24813.0,0,24813,"{'CASA': 545, 'MIXED': 138, 'BOTTEGA': 73, 'INVIAMENTO': 13, 'MAGAZZINO': 21, 'OTHER': 9, 'TRAGHETTO': 27}"
275558,1041,1417,290733.5,5035624.5,728,7,20684.0,0,20684,"{'CASA': 506, 'MIXED': 112, 'BOTTEGA': 47, 'MAGAZZINO': 12, 'OTHER': 17, 'INVIAMENTO': 10, 'TRAGHETTO': 7}"
754186,1559,1161,290477.5,5035106.5,587,7,15983.0,0,15983,"{'MIXED': 51, 'CASA': 492, 'BOTTEGA': 16, 'MAGAZZINO': 5, 'OTHER': 2, 'INVIAMENTO': 10, 'TRAGHETTO': 9}"
1624662,2155,1464,290780.5,5034510.5,1925,7,33581.0,0,33581,"{'CASA': 1519, 'BOTTEGA': 88, 'MIXED': 217, 'INVIAMENTO': 38, 'OTHER': 10, 'MAGAZZINO': 35, 'TRAGHETTO': 3}"
1723230,2231,1866,291182.5,5034434.5,916,7,30284.0,0,30284,"{'CASA': 765, 'MIXED': 68, 'BOTTEGA': 39, 'OTHER': 13, 'MAGAZZINO': 12, 'INVIAMENTO': 14, 'TRAGHETTO': 1}"
1673723,2188,1187,290503.5,5034477.5,1308,7,32833.0,0,32833,"{'CASA': 1022, 'MAGAZZINO': 19, 'BOTTEGA': 55, 'INVIAMENTO': 29, 'MIXED': 122, 'OTHER': 6, 'TRAGHETTO': 17}"
937084,1693,1255,290571.5,5034972.5,835,7,21085.0,0,21085,"{'MIXED': 87, 'CASA': 668, 'BOTTEGA': 43, 'MAGAZZINO': 6, 'OTHER': 3, 'INVIAMENTO': 14, 'TRAGHETTO': 13}"
593427,1416,2709,292025.5,5035249.5,1415,7,32867.0,0,32867,"{'MIXED': 219, 'CASA': 980, 'BOTTEGA': 105, 'MAGAZZINO': 46, 'INVIAMENTO': 17, 'TRAGHETTO': 39, 'OTHER': 5}"
1847551,2404,2338,291654.5,5034261.5,54,6,2761.0,0,2761,"{'CASA': 39, 'MIXED': 5, 'MAGAZZINO': 4, 'BOTTEGA': 1, 'INVIAMENTO': 2, 'OTHER': 2}"
68225,662,2132,291448.5,5036003.5,520,7,17954.0,0,17954,"{'CASA': 408, 'MIXED': 59, 'OTHER': 5, 'MAGAZZINO': 22, 'BOTTEGA': 18, 'INVIAMENTO': 5, 'TRAGHETTO': 1}"
1641364,2166,1986,291302.5,5034499.5,1540,6,42126.0,0,42126,"{'CASA': 1162, 'MIXED': 179, 'BOTTEGA': 119, 'MAGAZZINO': 21, 'OTHER': 16, 'INVIAMENTO': 39}"
909140,1675,1787,291103.5,5034990.5,1243,6,35210.0,0,35210,"{'CASA': 853, 'MIXED': 170, 'BOTTEGA': 96, 'MAGAZZINO': 64, 'OTHER': 6, 'INVIAMENTO': 28}"
6661,484,1734,291050.5,5036181.5,328,6,16025.0,0,16025,"{'CASA': 258, 'OTHER': 1, 'MAGAZZINO': 7, 'BOTTEGA': 4, 'MIXED': 49, 'INVIAMENTO': 7}"
733645,1542,2635,291951.5,5035123.5,2071,7,42166.0,0,42166,"{'MIXED': 403, 'CASA': 1182, 'BOTTEGA': 333, 'MAGAZZINO': 82, 'INVIAMENTO': 24, 'TRAGHETTO': 35, 'OTHER': 9}"
758070,1562,1790,291106.5,5035103.5,765,6,22135.0,0,22135,"{'CASA': 523, 'MAGAZZINO': 39, 'MIXED': 104, 'BOTTEGA': 59, 'INVIAMENTO': 17, 'OTHER': 3}"
1047210,1764,1337,290653.5,5034901.5,1020,7,25114.0,0,25114,"{'CASA': 795, 'MIXED': 109, 'BOTTEGA': 67, 'MAGAZZINO': 16, 'OTHER': 4, 'INVIAMENTO': 12, 'TRAGHETTO': 15}"
434648,1253,2213,291529.5,5035412.5,1301,7,29247.0,0,29247,"{'CASA': 907, 'BOTTEGA': 107, 'MIXED': 187, 'MAGAZZINO': 45, 'INVIAMENTO': 18, 'OTHER': 17, 'TRAGHETTO': 6}"
247841,998,1390,290706.5,5035667.5,488,7,16104.0,0,16104,"{'CASA': 320, 'MIXED': 82, 'BOTTEGA': 39, 'MAGAZZINO': 9, 'OTHER': 13, 'INVIAMENTO': 10, 'TRAGHETTO': 7}"
1178951,1859,2943,292259.5,5034806.5,1119,6,31323.0,0,31323,"{'CASA': 764, 'MAGAZZINO': 33, 'MIXED': 132, 'BOTTEGA': 147, 'INVIAMENTO': 16, 'OTHER': 22}"
456507,1275,1073,290389.5,5035390.5,87,5,4858.0,0,4858,"{'MIXED': 7, 'CASA': 58, 'MAGAZZINO': 1, 'INVIAMENTO': 1, 'TRAGHETTO': 19}"
1195149,1869,3663,292979.5,5034796.5,0,0,1332.0,0,1332,{}
853301,1634,1805,291121.5,5035031.5,1273,7,32730.0,0,32730,"{'CASA': 861, 'MAGAZZINO': 76, 'MIXED': 150, 'BOTTEGA': 82, 'INVIAMENTO': 23, 'OTHER': 4, 'TRAGHETTO': 28}"
156174,835,1873,291189.5,5035830.5,1389,7,26194.0,0,26194,"{'CASA': 964, 'MAGAZZINO': 27, 'BOTTEGA': 121, 'MIXED': 182, 'OTHER': 34, 'INVIAMENTO': 40, 'TRAGHETTO': 5}"
522747,1342,2017,291333.5,5035323.5,2446,6,36078.0,0,36078,"{'CASA': 1074, 'BOTTEGA': 818, 'MIXED': 247, 'INVIAMENTO': 12, 'MAGAZZINO': 143, 'OTHER': 41}"
812771,1604,3499,292815.5,5035061.5,0,0,1332.0,0,1332,{}
72292,670,2025,291341.5,5035995.5,524,6,16274.0,0,16274,"{'CASA': 403, 'MAGAZZINO': 19, 'MIXED': 72, 'BOTTEGA': 17, 'INVIAMENTO': 8, 'OTHER': 4}"
856246,1636,2516,291832.5,5035029.5,2799,7,49928.0,0,49928,"{'BOTTEGA': 756, 'CASA': 1187, 'MIXED': 576, 'MAGAZZINO': 150, 'INVIAMENTO': 27, 'OTHER': 24, 'TRAGHETTO': 58}"
368703,1174,1836,291152.5,5035491.5,857,6,21028.0,0,21028,"{'CASA': 500, 'MIXED': 55, 'BOTTEGA': 29, 'INVIAMENTO': 9, 'OTHER': 5, 'MAGAZZINO': 13}"
72682,671,1712,291028.5,5035994.5,1497,6,27402.0,0,27402,"{'CASA': 1092, 'MIXED': 152, 'MAGAZZINO': 39, 'BOTTEGA': 114, 'INVIAMENTO': 27, 'OTHER': 44}"
239947,984,1602,290918.5,5035681.5,1785,7,34684.0,0,34684,"{'CASA': 1267, 'MIXED': 194, 'BOTTEGA': 107, 'MAGAZZINO': 37, 'OTHER': 53, 'INVIAMENTO': 35, 'TRAGHETTO': 51}"
624303,1447,1691,291007.5,5035218.5,1458,6,42375.0,0,42375,"{'CASA': 800, 'MAGAZZINO': 29, 'MIXED': 121, 'INVIAMENTO': 17, 'BOTTEGA': 51, 'OTHER': 6}"
1083497,1790,2510,291826.5,5034875.5,2651,7,52287.0,0,52287,"{'CASA': 1150, 'MAGAZZINO': 95, 'BOTTEGA': 649, 'MIXED': 650, 'OTHER': 63, 'INVIAMENTO': 24, 'TRAGHETTO': 7}"
239788,983,2572,291888.5,5035682.5,616,6,21413.0,0,21413,"{'CASA': 538, 'BOTTEGA': 9, 'MIXED': 32, 'MAGAZZINO': 23, 'INVIAMENTO': 5, 'OTHER': 6}"
341907,1140,2448,291764.5,5035525.5,670,6,17912.0,0,17912,"{'MIXED': 60, 'CASA': 540, 'BOTTEGA': 44, 'MAGAZZINO': 17, 'OTHER': 4, 'INVIAMENTO': 4}"
1878134,2453,2133,291449.5,5034212.5,642,7,18709.0,0,18709,"{'CASA': 447, 'MAGAZZINO': 19, 'OTHER': 13, 'BOTTEGA': 15, 'MIXED': 31, 'INVIAMENTO': 11, 'TRAGHETTO': 103}"
865265,1643,2875,292191.5,5035022.5,904,6,26664.0,0,26664,"{'CASA': 643, 'MAGAZZINO': 17, 'MIXED': 127, 'BOTTEGA': 87, 'INVIAMENTO': 13, 'OTHER': 16}"
651754,1472,959,290275.5,5035193.5,235,7,13574.0,0,13574,"{'MIXED': 26, 'CASA': 184, 'BOTTEGA': 5, 'MAGAZZINO': 3, 'OTHER': 1, 'INVIAMENTO': 6, 'TRAGHETTO': 9}"
1205691,1876,2420,291736.5,5034789.5,2707,7,45671.0,0,45671,"{'MAGAZZINO': 104, 'BOTTEGA': 583, 'MIXED': 646, 'INVIAMENTO': 38, 'CASA': 1195, 'TRAGHETTO': 45, 'OTHER': 60}"
895711,1666,1798,291114.5,5034999.5,1304,6,33986.0,0,33986,"{'CASA': 893, 'MAGAZZINO': 76, 'MIXED': 156, 'BOTTEGA': 107, 'INVIAMENTO': 24, 'OTHER': 4}"
1248762,1901,2726,292042.5,5034764.5,1579,7,41018.0,0,41018,"{'CASA': 738, 'MAGAZZINO': 52, 'MIXED': 311, 'BOTTEGA': 378, 'INVIAMENTO': 22, 'OTHER': 36, 'TRAGHETTO': 21}"
425376,1243,2163,291479.5,5035422.5,1055,6,24592.0,0,24592,"{'CASA': 719, 'BOTTEGA': 100, 'MIXED': 157, 'INVIAMENTO': 11, 'MAGAZZINO': 41, 'OTHER': 13}"
1784953,2295,3709,293025.5,5034370.5,1088,6,32518.0,0,32518,"{'CASA': 890, 'INVIAMENTO': 13, 'BOTTEGA': 47, 'MAGAZZINO': 24, 'MIXED': 96, 'OTHER': 9}"
1794621,2311,1551,290867.5,5034354.5,835,6,24486.0,0,24486,"{'CASA': 638, 'BOTTEGA': 28, 'MIXED': 103, 'OTHER': 17, 'MAGAZZINO': 15, 'INVIAMENTO': 29}"
1517049,2082,1106,290422.5,5034583.5,1251,7,36591.0,0,36591,"{'CASA': 1018, 'MIXED': 97, 'INVIAMENTO': 24, 'OTHER': 8, 'BOTTEGA': 49, 'MAGAZZINO': 7, 'TRAGHETTO': 17}"
1425358,2020,2309,291625.5,5034645.5,2371,7,52838.0,0,52838,"{'CASA': 1207, 'BOTTEGA': 529, 'MAGAZZINO': 81, 'MIXED': 399, 'OTHER': 55, 'INVIAMENTO': 41, 'TRAGHETTO': 17}"
54786,633,948,290264.5,5036032.5,224,6,16814.0,0,16814,"{'CASA': 189, 'MIXED': 17, 'OTHER': 5, 'BOTTEGA': 6, 'MAGAZZINO': 3, 'INVIAMENTO': 1}"
1409953,2009,2874,292190.5,5034656.5,855,7,29865.0,0,29865,"{'CASA': 434, 'MAGAZZINO': 33, 'MIXED': 140, 'BOTTEGA': 180, 'INVIAMENTO': 16, 'OTHER': 17, 'TRAGHETTO': 19}"
