building_idx,row,col,x,y,poi_count,poi_diversity,reachable_area_m2,reachable_buildings,reachable_streets,poi_types
13258,519,1736,291052.5,5036146.5,50,6,18371.0,0,18371,"{'CASA': 33, 'OTHER': 1, 'MAGAZZINO': 2, 'MIXED': 11, 'INVIAMENTO': 2, 'BOTTEGA': 1}"
206094,926,1615,290931.5,5035739.5,158,6,32553.0,0,32553,"{'CASA': 118, 'MIXED': 14, 'BOTTEGA': 8, 'INVIAMENTO': 3, 'MAGAZZINO': 3, 'TRAGHETTO': 6}"
1198332,1871,3409,292725.5,5034794.5,55,7,25641.0,0,25641,"{'INVIAMENTO': 6, 'OTHER': 3, 'TRAGHETTO': 7, 'MIXED': 5, 'CASA': 31, 'BOTTEGA': 2, 'MAGAZZINO': 1}"
1204917,1875,3820,293136.5,5034790.5,38,4,12400.0,0,12400,"{'CASA': 28, 'BOTTEGA': 3, 'INVIAMENTO': 4, 'MIXED': 3}"
673700,1492,2469,291785.5,5035173.5,195,6,27815.0,0,27815,"{'CASA': 57, 'MAGAZZINO': 11, 'BOTTEGA': 86, 'MIXED': 33, 'INVIAMENTO': 3, 'TRAGHETTO': 4}"
1583109,2127,2469,291785.5,5034538.5,357,7,54578.0,0,54578,"{'MIXED': 58, 'BOTTEGA': 117, 'TRAGHETTO': 14, 'CASA': 144, 'MAGAZZINO': 5, 'OTHER': 3, 'INVIAMENTO': 7}"
1855593,2416,2244,291560.5,5034249.5,15,3,9389.0,0,9389,"{'CASA': 11, 'MIXED': 1, 'MAGAZZINO': 3}"
287182,1056,2274,291590.5,5035609.5,88,5,19677.0,0,19677,"{'CASA': 58, 'MIXED': 14, 'INVIAMENTO': 1, 'BOTTEGA': 10, 'MAGAZZINO': 4}"
944550,1697,3210,292526.5,5034968.5,64,6,28845.0,0,28845,"{'CASA': 52, 'BOTTEGA': 5, 'MIXED': 4, 'INVIAMENTO': 1, 'MAGAZZINO': 1, 'TRAGHETTO': 1}"
896609,1666,3416,292732.5,5034999.5,7,2,13631.0,0,13631,"{'CASA': 5, 'MIXED': 2}"
1406578,2007,1667,290983.5,5034658.5,41,4,10968.0,0,10968,"{'CASA': 35, 'INVIAMENTO': 1, 'MIXED': 2, 'BOTTEGA': 3}"
1894038,2484,1994,291310.5,5034181.5,60,5,22692.0,0,22692,"{'CASA': 49, 'MIXED': 3, 'MAGAZZINO': 3, 'BOTTEGA': 3, 'INVIAMENTO': 2}"
1102727,1805,1732,291048.5,5034860.5,67,5,29327.0,0,29327,"{'CASA': 37, 'MIXED': 14, 'BOTTEGA': 10, 'INVIAMENTO': 4, 'MAGAZZINO': 2}"
1791424,2306,1272,290588.5,5034359.5,37,5,29115.0,0,29115,"{'CASA': 30, 'BOTTEGA': 2, 'TRAGHETTO': 1, 'MIXED': 1, 'OTHER': 1}"
